Serial                   pollinator              plant interactions
1              Adela.purpurea          Salix.fragilis           20
25         Thymelicus.lineola    Calopogon.pulchellus            7
26         Thymelicus.lineola            Spiraea.alba            3
39  Macrodactlyus.subspinosus            Spiraea.alba           15
40          Cyphon.variabilis          Salix.fragilis           37
65        Hybomitra.minuscula            Spiraea.alba           12
75           Hybomitra.typhus     Gaylussacia.baccata            1
76           Hybomitra.typhus     Kalmia.angustifolia           13
81          Dilophus.caurinus   Nemopanthus.mucronata           87
92           Spilogona.fatima          Salix.fragilis            1
93           Spilogona.fatima Chamaedaphne.calyculata            7
94           Spilogona.fatima   Nemopanthus.mucronata            4
97           Spilogona.fatima      Smilacina.trifolia            1
106          Shaerophoria.sp. Chamaedaphne.calyculata            1
110          Shaerophoria.sp.      Smilacina.trifolia            2
112          Shaerophoria.sp.      Aronia.melanocarpa            8
113          Shaerophoria.sp.     Ledum.groenlandicum            4
120        Pyrophaena.rosarum   Nemopanthus.mucronata            2
123        Pyrophaena.rosarum      Smilacina.trifolia            6
126        Pyrophaena.rosarum     Ledum.groenlandicum            1
128        Pyrophaena.rosarum     Kalmia.angustifolia            1
130        Pyrophaena.rosarum            Spiraea.alba            1
132           Melanostoma.sp. Chamaedaphne.calyculata            1
133           Melanostoma.sp.   Nemopanthus.mucronata           15
136           Melanostoma.sp.      Smilacina.trifolia            9
138           Melanostoma.sp.      Aronia.melanocarpa            1
148      Sercomyia.transversa        Kalmia.polifolia            4
150      Sercomyia.transversa  Vaccinium.myrtilloides            1
152      Sercomyia.transversa     Ledum.groenlandicum            2
153      Sercomyia.transversa     Gaylussacia.baccata           23
154      Sercomyia.transversa     Kalmia.angustifolia            2
164       Eristalis.dimidiata      Aronia.melanocarpa            2
165       Eristalis.dimidiata     Ledum.groenlandicum            5
166       Eristalis.dimidiata     Gaylussacia.baccata            7
169       Eristalis.dimidiata            Spiraea.alba            4
177      Helophilus.latifrons      Aronia.melanocarpa            1
178      Helophilus.latifrons     Ledum.groenlandicum           14
179      Helophilus.latifrons     Gaylussacia.baccata            4
184      Helophilus.fasciatus Chamaedaphne.calyculata            1
